,Word,Average Sentiment Score
553,rise,0.47628910797231966
931,druggist,0.4762446153846153
921,honey,0.4759612861736334
1039,shore,0.4755318452380953
497,shade,0.47537511961722484
527,balm,0.47511136363636364
1259,sacrifice,0.474373544973545
336,chestnut,0.47408486486486484
313,spring,0.4740242705570293
908,deep,0.4736930313588851
601,raspberry,0.4735211428571428
886,orange,0.4729400226918168
964,flower,0.472654820070413
51,flow,0.4725088271374473
488,god,0.4714048048048048
722,spruce,0.4703956937799043
1126,fig,0.46890916666666665
16,sun,0.4672078109932497
1093,cypress,0.46711663516068047
197,verbena,0.4658336507936508
675,moss,0.4653887242798354
790,bunch,0.46508875236294894
711,clouds,0.46496858407079644
383,wing,0.46478282647584984
1344,alpine,0.4642477876106194
384,mulberry,0.46327542372881364
437,strawberry,0.46318616751269026
315,breast,0.46311451612903226
418,bush,0.4627863988724454
461,hyacinth,0.4626025071633237
1186,rose,0.46118190451523783
839,fern,0.4592326122228232
406,low,0.45805356670410585
194,marjoram,0.45804481382978723
1038,apricot,0.4577663120567376
1446,woodruff,0.4574030837004405
1202,ripen,0.45712037914691944
419,double,0.4553921686746988
11,acacia,0.45507065813528336
1098,bank,0.45451491344873496
1000,evergreen,0.45415651041666666
12,ebony,0.45364
894,petal,0.4535431849791377
410,beverage,0.45280949367088613
702,foliage,0.45151932153392327
1237,violet,0.45113010443307755
643,poplar,0.4487513846153846
582,bouquet,0.44802445008460245
235,geranium,0.447749741697417
1178,myriad,0.4457426724137931
44,nard,0.4457078317621465
877,snow,0.44562154340836013
1347,grape,0.4439239595719382
289,hay,0.4436854568581725
43,sachet,0.4421092611862643
708,thyme,0.4389645755305868
373,pine,0.436175996249414
352,like,0.4359098009188361
1294,breeze,0.4349767659574468
1256,orchid,0.43271579651941094
1241,southern,0.4325282894736842
1235,love,0.431972214958159
776,basilic,0.4303776859504132
661,horn,0.4285417351377477
155,incense,0.42623121726566743
256,evening,0.42581302931596093
1272,holy,0.42508444924406047
1412,eau,0.42455533880903484
651,spikenard,0.423865710723192
1281,marigold,0.42369150579150583
90,shape,0.42303560000000007
1080,anthoxanthum,0.4229833333333333
1258,clear,0.4218482490272374
1204,ylang,0.42148205128205124
694,spice,0.42056519421172883
248,spray,0.41977887323943663
157,blow,0.41972806122448975
963,bowl,0.41954036979969184
1407,crown,0.418929520295203
533,grow,0.4186991689750693
1435,basket,0.4184108552631579
650,whose,0.41811464968152867
646,citron,0.4176250490516678
4,willow,0.4172645702306079
587,cedar,0.4159147368421053
805,fruit,0.4152460446247464
522,may,0.41507894117647065
1265,fine,0.4141640226628895
240,vulgaris,0.41416122448979587
38,morn,0.4134197402597403
1320,ocean,0.41201267605633796
619,conia,0.4106988262910798
111,garment,0.4104483231707317
1356,cookie,0.4104094339622642
1006,strong,0.40888531645569615
692,fresh,0.405737835834723
799,spike,0.40547355805243446
586,white,0.40499064158224796
1379,virgin,0.40467643271088216
941,talc,0.4039238219895288
678,christ,0.40352167906482467
826,persian,0.40218871595330746
715,china,0.4015164772727273
161,virginia,0.40118758620689654
920,young,0.4011611111111111
224,gem,0.4007820143884892
261,fame,0.4000798418972332
152,new,0.40004253663003664
1287,autumn,0.3992658747300216
759,chaplet,0.39897951219512195
744,choice,0.39848861111111106
1302,floral,0.39799568733153645
286,ofthe,0.39770241935483874
1393,olive,0.3976510638297872
639,herbage,0.3976112570356473
750,palm,0.39741397109428767
785,melon,0.39679549356223176
164,blackberry,0.39657234848484846
593,blue,0.3963250914411119
1029,broom,0.39583266666666667
1326,cucumber,0.3942924590163935
